blades_from_code,catalog_file,coating,code_type,extra_length_mm,form,image_file,image_height_px,image_width_px,material,overall_length_mm,page,product_code,profile_code,shank_diameter_mm,system_code,working_diameter_mm_detected,working_diameter_mm_from_code,x,y,yt_reference
1,CABINET (3).pdf,without coating,numeric,25.1,,,,,tungsten carbide,5.0,50,500 205 001 251 027,,2.0,,2.7,2.7,113.80189514160156,334.8572235107422,
1,CABINET (3).pdf,without coating,numeric,25.1,,,,,tungsten carbide,5.0,50,500 205 001 251 031,,2.0,,,3.1,194.09387969970703,334.8572235107422,
1,CABINET (3).pdf,without coating,numeric,25.1,,,,,tungsten carbide,5.0,50,500 205 001 251 035,,2.0,,,3.5,274.3818817138672,334.8572235107422,
1,CABINET (3).pdf,without coating,numeric,25.1,,,,,tungsten carbide,5.0,50,500 205 001 251 040,,2.0,,,4.0,354.6698760986328,334.8572235107422,
4,CABINET (3).pdf,without coating,numeric,29.7,cylindric radial cutter,,,,tungsten carbide,5.0,44,500 205 254 297 012,,2.0,,,1.2,113.6300048828125,502.9367218017578,
4,CABINET (3).pdf,without coating,numeric,29.7,cylindric radial cutter,,,,tungsten carbide,5.0,44,500 205 254 297 016,,2.0,,,1.6,193.92198944091797,502.9367218017578,
4,CABINET (3).pdf,without coating,numeric,29.8,cylindric radial cutter,,,,tungsten carbide,5.0,46,500 205 254 298 012,,2.0,,,1.2,274.3819808959961,753.9693298339844,
5,CABINET (3).pdf,without coating,numeric,29.8,cylindric radial cutter,,,,tungsten carbide,5.0,47,500 205 255 298 012,,2.0,,,1.2,193.23956298828125,486.2841033935547,
7,CABINET (3).pdf,without coating,numeric,29.1,,,,,tungsten carbide,5.0,68,500 205 697 291 006,,2.0,,0.6,0.6,113.80209732055664,432.6546173095703,
7,CABINET (3).pdf,without coating,numeric,29.1,,,,,tungsten carbide,5.0,68,500 205 697 291 008,,2.0,,0.8,0.8,194.09007263183594,432.6546173095703,
7,CABINET (3).pdf,without coating,numeric,29.1,,,,,tungsten carbide,5.0,68,500 205 697 291 010,,2.0,,1.0,1.0,274.37806701660156,432.6546173095703,
7,CABINET (3).pdf,without coating,numeric,29.1,,,,,tungsten carbide,5.0,68,500 205 697 291 012,,2.0,,1.2,1.2,354.6660614013672,432.6546173095703,
7,CABINET (3).pdf,without coating,numeric,29.1,,,,,tungsten carbide,5.0,68,500 205 697 291 014,,2.0,,1.4,1.4,434.95806884765625,432.6546173095703,
7,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,7.0,67,500 207 697 001 006,,2.0,,0.6,0.6,113.80210494995117,570.9305114746094,
7,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,7.0,67,500 207 697 001 008,,2.0,,0.8,0.8,194.09010314941406,570.9305114746094,
7,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,7.0,67,500 207 697 001 010,,2.0,,1.0,1.0,274.37811279296875,570.9305114746094,
7,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,7.0,67,500 207 697 001 012,,2.0,,1.2,1.2,354.6661071777344,570.9305114746094,
7,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,7.0,67,500 207 697 001 014,,2.0,,1.4,1.4,434.9580993652344,570.9305114746094,
7,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,7.0,67,500 207 697 001 016,,2.0,,1.6,1.6,113.80199432373047,753.3059387207031,
7,CABINET (3).pdf,without coating,numeric,0.1,,,,,tungsten carbide,7.0,67,500 207 697 001 018,,2.0,,1.8,1.8,194.09397888183594,753.3059387207031,
